,id,title,quantityOptions,available,productType,crossSellSKUList,nixProduct,stickerBadges,sample,prices.price.currency,prices.price.amount,prices.unitPrice.unit,prices.unitPrice.price.currency,prices.unitPrice.price.amount,imageInfo.primaryView,badgesToDisplay.leftTop.image,badge.image,quantity,promotion.id,promotion.name,promotion.label,promotion.image,promotion.fromDate,promotion.toDate,promotion.validityPeriod,promotion.summary,promotion.offline,promotion.tags,promotion.badgeImage.main,promotion.stickerBadges,promotion.enablePromoAssistance,unavailabilityReason,reason,prices.promotionalPrice.currency,prices.promotionalPrice.amount
360,408584BLK,Jumbo Kokosmelk 6% Vet 400ml,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,75,l,EUR,188.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/031120211350_408584BLK-1_360x360.png', 'height': 360, 'width': 360}]",,,400 ml,,,,,,,,,,,,,,,,,
361,563730DS,ERU Goudkuipje Naturel 100g,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,104,kg,EUR,1040.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/020520191552_563730DS-1_360x360.png', 'height': 360, 'width': 360}]",,,100 g,,,,,,,,,,,,,,,,,
362,140548STK,Jumbo - Croissants - 6 Stuks,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,['https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/tht-10+.png'],False,EUR,173,kg,EUR,721.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/230720202349_140548STK-1_360x360.png', 'height': 360, 'width': 360}]",,,240 g,,,,,,,,,,,,,,,,,
363,225744STK,"Blue Band voor Koken, Bakken en Braden Vegan en 100% Plantaardig Voordeelwikkel 500g","[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,199,kg,EUR,398.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/300620210036_225744STK-1_360x360.png', 'height': 360, 'width': 360}]",,,500 g,,,,,,,,,,,,,,,,,
364,527089PAK,Campina Slagroom Vla 1L,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,['https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/tht-7+.png'],False,EUR,138,l,EUR,138.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/021020210210_527089PAK-1_360x360.png', 'height': 360, 'width': 360}]",,,1 liter,,,,,,,,,,,,,,,,,
365,31811PAK,Jumbo Dubbel Vla Chocolade- & Vanille Smaak 1L,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,['https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/tht-7+.png'],False,EUR,128,l,EUR,128.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/160320210108_31811PAK-1_360x360.png', 'height': 360, 'width': 360}]",,,1 L,,,,,,,,,,,,,,,,,
366,213765TRA,Jumbo Mini Rundervink 200g,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,"['https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/kerst.png', 'https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/tht-3+.png']",False,EUR,300,kg,EUR,1500.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/180420200034_213765TRA-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/web/WFS/Jumbo-Grocery-Site/nl_NL/-/EUR/ViewPromotionAttachment-OpenFile?LocaleId=nl_NL&DirectoryPath=0003-Kies%26Mix&FileName=Kies%20%26%20Mix.png&UnitName=Jumbo-Grocery,https://www.jumbo.com/INTERSHOP/web/WFS/Jumbo-Grocery-Site/nl_NL/-/EUR/ViewPromotionAttachment-OpenFile?LocaleId=nl_NL&DirectoryPath=0003-Kies%26Mix&FileName=Kies%20%26%20Mix.png&UnitName=Jumbo-Grocery,200 g,1303057-B-1,Kies & Mix Gourmet,Kies & Mix Gourmet,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2021/Weekaanbiedingen/Week%2047/Gourmet%20kerst%202.png,1638486060000.0,1641337140000.0,Geldig vanaf vr 3 dec. t/m di 4 jan. 2022,Diverse artikelen,False,"[{'type': 'tag', 'text': '4+2 gratis'}]",https://www.jumbo.com/INTERSHOP/web/WFS/Jumbo-Grocery-Site/nl_NL/-/EUR/ViewPromotionAttachment-OpenFile?LocaleId=nl_NL&DirectoryPath=0003-Kies%26Mix&FileName=Kies%20%26%20Mix.png&UnitName=Jumbo-Grocery,[],True,,,,
367,45946STK,"Jumbo Galia Meloen ca. 1, 2kg","[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,239,piece,EUR,239.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/020520191116_45946STK-1_360x360.png', 'height': 360, 'width': 360}]",,,1 stuk,,,,,,,,,,,,,,,,,
368,300160STK,Jumbo - Wit Casino Brood - Half,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,65,piece,EUR,130.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/290720200452_300160STK-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,,,,,,,,,,,,,,,,,,
369,189104STK,Jumbo Kookzuivel 7% Vet 250ml,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,64,l,EUR,256.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/041120211755_189104STK-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,250 ml,,,,,,,,,,,,,,,,,
